objectid,MRRC_collection,title,artist,date,after,publisher,type,technique,collection,collection_link_1,collection_link_2,collection_link_3,notes,linked_volumes,linked_portraits,subject,display_template,image_small,image_thumb
port_gainsborough_1781,portraits,Mrs Mary Robinson (Perdita),Thomas Gainsborough,1781,,,painting,oil on canvas,Wallace Collection,https://wallacelive.wallacecollection.org:443/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=64932&viewType=detailView,,,"See Highfill, Burnim, and Langhans, #22, page 41; See Walker, page 418",,,,image,https://mrrc.leighbonds.org/objects/gainsborough_1781_sm.jpg,https://mrrc.leighbonds.org/objects/gainsborough_1781_th.jpg
port_gainsborough_1781_sketch,portraits,Mary Robinson (née Darby) (1758-1800) [Sketch],Thomas Gainsborough,1781,,,painting [modello],oil on canvas,Windsor Castle,https://www.royalcollection.org.uk/collection/search#/1/collection/400670/mrs-mary-robinson-1758-1800,,,"See Highfill, Burnim, and Langhans, #23, page 41; See Walker, page 418",,,,image,https://mrrc.leighbonds.org/objects/gainsborough_1781_sketch_sm.jpg,https://mrrc.leighbonds.org/objects/gainsborough_1781_sketch_th.jpg
port_gainsborough_1781_study,portraits,"Mary Darby, Mrs Thomas Robinson 'Perdita' (1758 - 1800) [Study]",Thomas Gainsborough,1781,,,painting,oil on canvas,Waddesdon Manor,https://waddesdon.org.uk/the-collection/item/?id=367,,,"See Highfill, Burnim, and Langhans, #21, page 41; See Walker, page 418",,,,image,https://mrrc.leighbonds.org/objects/gainsborough_1781_study_sm.jpg,https://mrrc.leighbonds.org/objects/gainsborough_1781_study_th.jpg
port_hopwood_1801,portraits,"""Mrs Robinson""",James Hopwood,1801,James Cranke,Richard Phillips,print,stipple,British Museum,https://www.britishmuseum.org/collection/object/P_1867-1214-714,,,"Frontispiece of Memoirs (1801); See Highfill, Burnim, and Langhans, #67, page 46; See Walker, page 418",vol_memoirs_1801,,Memoirs,image,https://mrrc.leighbonds.org/objects/hopwood_1801_sm.jpg,https://mrrc.leighbonds.org/objects/hopwood_1801_th.jpg
port_burke_1791,portraits,"""Mrs Robinson""",Thomas Burke,1791,Joshua Reynolds,,print,stipple,British Museum,https://www.britishmuseum.org/collection/object/P_K-63-217,,,"Frontispiece of Poems (1791), Lyrical Tales (1800), and The Poetical Works (1806); See Highfill, Burnim, and Langhans, #46b, page 44",vol_poems_1791; vol_lyrical_1800; vol_poetical_1806,port_reynolds_1784,Poems; Lyrical Ballads; Poetical Works,image,https://mrrc.leighbonds.org/objects/burke_1791_sm.jpg,https://mrrc.leighbonds.org/objects/burke_1791_th.jpg
port_reynolds_1782,portraits,"Mary Darby, Mrs Thomas Robinson 'Perdita' (1758-1800)",Joshua Reynolds,1782,,,painting,oil on canvas,Waddesdon Manor,https://waddesdon.org.uk/the-collection/item/?id=368,,,"Exhibited at the Royal Academy, London, in 1782 as ""Portrait of a Lady,"" #22; See Highfill, Burnim, and Langhans, #47, page 44; See Walker, page 418",,port_reynolds_1782_study; port_reynolds_1835; port_reynolds_1835_proof; ,,image,https://mrrc.leighbonds.org/objects/reynolds_1782_sm.jpg,https://mrrc.leighbonds.org/objects/reynolds_1782_th.jpg
port_reynolds_1782_study,portraits,Mary Robinson (née Darby) [Study],Joshua Reynolds,1782,,,drawing,pen and brown ink over pencil on off-white paper,National Portrait Gallery,http://www.npg.org.uk/collections/search/portrait/mw05389/Mary-Robinson-ne-Darby,,,"See Highfill, Burnim, and Langhans, #48, page 44; See Walker, page 417",,port_reynolds_1782,,image,https://mrrc.leighbonds.org/objects/reynolds_1782_study_sm.jpg,https://mrrc.leighbonds.org/objects/reynolds_1782_study_th.jpg
port_reynolds_1784,portraits,Mrs Mary Robinson,Joshua Reynolds,1783-1784,,,painting,oil on canvas,Wallace Collection,https://wallacelive.wallacecollection.org:443/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=63447&viewType=detailView,,,"See Highfill, Burnim, and Langhans, #46, page 43; See Walker, page 418",," 
         
port_reynolds_1784_study_1; port_reynolds_1784_study_2; port_burke_1791

",,image,https://mrrc.leighbonds.org/objects/reynolds_1784_sm.jpg,https://mrrc.leighbonds.org/objects/reynolds_1784_th.jpg
port_reynolds_1784_study_1,portraits,Mrs Robinson [Study],Joshua Reynolds,1784,,,drawing,drawn on paper,British Museum,https://www.britishmuseum.org/collection/object/P_1887-0722-19,,,"See Highfill, Burnim, and Langhans, #46, page 43; See Walker, page 418",,port_reynolds_1784,,image,https://mrrc.leighbonds.org/objects/reynolds_1784_study_1_sm.jpg,https://mrrc.leighbonds.org/objects/reynolds_1784_study_1_th.jpg
port_reynolds_1784_study_2,portraits,Mrs. Robinson [Study],Joshua Reynolds,circa 1784,,,painting,oil on canvas,Yale Center for British Art,http://collections.britishart.yale.edu/vufind/Record/1665158,,,"See Highfill, Burnim, and Langhans, #46, page 43; See Walker, page 418",,port_reynolds_1784,,image,https://mrrc.leighbonds.org/objects/reynolds_1784_study_2_sm.jpg,https://mrrc.leighbonds.org/objects/reynolds_1784_study_2_th.jpg
